username,system,itemid,itemtype,srclang,trglang,score
Lisa,ref,6,REF,deu,sgg,84
Lisa,ref,7,REF,deu,sgg,81
Lisa,ref,9,REF,deu,sgg,83
Lisa,ref,10,REF,deu,sgg,84
Lisa,ref,13,REF,deu,sgg,82
Lisa,ref,14,REF,deu,sgg,84
Lisa,ref,15,REF,deu,sgg,81
Lisa,ref,16,REF,deu,sgg,84
Lisa,ref,17,REF,deu,sgg,80
Lisa,ref,22,REF,deu,sgg,84
Lisa,ref,23,REF,deu,sgg,81
Lisa,ref,24,REF,deu,sgg,80
Lisa,ref,25,REF,deu,sgg,84
Lisa,ref,26,REF,deu,sgg,84
Lisa,ref,27,REF,deu,sgg,80
Lisa,ref,30,REF,deu,sgg,85
Lisa,ref,33,REF,deu,sgg,84
Lisa,ref,34,REF,deu,sgg,84
Lisa,ref,35,REF,deu,sgg,80
Lisa,ref,36,REF,deu,sgg,85
Lisa,ref,38,REF,deu,sgg,82
Lisa,ref,39,REF,deu,sgg,85
Lisa,ref,43,REF,deu,sgg,84
Lisa,ref,47,REF,deu,sgg,82
Lisa,ref,48,REF,deu,sgg,84
Lisa,ref,49,REF,deu,sgg,84
Lisa,ref,51,REF,deu,sgg,81
Lisa,ref,52,REF,deu,sgg,84
Lisa,ref,57,REF,deu,sgg,80
Lisa,ref,60,REF,deu,sgg,84
Lisa,ref,61,REF,deu,sgg,80
Lisa,ref,62,REF,deu,sgg,81
Lisa,ref,67,REF,deu,sgg,85
Lisa,ref,68,REF,deu,sgg,82
Lisa,ref,71,REF,deu,sgg,85
Lisa,ref,72,REF,deu,sgg,85
Lisa,ref,73,REF,deu,sgg,83
Lisa,ref,76,REF,deu,sgg,81
Lisa,ref,80,REF,deu,sgg,84
Lisa,ref,81,REF,deu,sgg,83
Lisa,ref,85,REF,deu,sgg,84
Lisa,ref,86,REF,deu,sgg,82
Lisa,ref,89,REF,deu,sgg,81
Lisa,ref,90,REF,deu,sgg,81
Lisa,ref,93,REF,deu,sgg,78
Lisa,ref,95,REF,deu,sgg,82
Lisa,ref,97,REF,deu,sgg,80
Lisa,ref,98,REF,deu,sgg,77
Lisa,ref,99,REF,deu,sgg,80
Lisa,ref,101,REF,deu,sgg,82
Lisa,ref,102,REF,deu,sgg,82
Lisa,ref,103,REF,deu,sgg,82
Lisa,ref,106,REF,deu,sgg,81
Lisa,ref,108,REF,deu,sgg,82
Lisa,ref,109,REF,deu,sgg,82
Lisa,ref,110,REF,deu,sgg,84
Lisa,ref,113,REF,deu,sgg,84
Lisa,ref,114,REF,deu,sgg,83
Lisa,ref,115,REF,deu,sgg,84
Lisa,ref,116,REF,deu,sgg,82
Lisa,ref,117,REF,deu,sgg,84
Lisa,ref,118,REF,deu,sgg,79
Lisa,ref,124,REF,deu,sgg,80
Lisa,ref,125,REF,deu,sgg,83
Lisa,ref,130,REF,deu,sgg,84
Lisa,ref,134,REF,deu,sgg,79
Lisa,ref,136,REF,deu,sgg,84
Lisa,ref,139,REF,deu,sgg,82
Lisa,ref,141,REF,deu,sgg,83
Lisa,ref,144,REF,deu,sgg,84
Lisa,ref,145,REF,deu,sgg,85
Lisa,ref,146,REF,deu,sgg,84
Lisa,ref,147,REF,deu,sgg,84
Lisa,ref,148,REF,deu,sgg,84
Lisa,ref,149,REF,deu,sgg,82
Lisa,ref,150,REF,deu,sgg,82
Lisa,ref,152,REF,deu,sgg,81
Lisa,ref,161,REF,deu,sgg,84
Lisa,ref,164,REF,deu,sgg,84
Lisa,ref,165,REF,deu,sgg,84
Lisa,ref,168,REF,deu,sgg,84
Lisa,ref,169,REF,deu,sgg,83
Lisa,ref,170,REF,deu,sgg,83
Lisa,ref,173,REF,deu,sgg,82
Lisa,ref,174,REF,deu,sgg,82
Lisa,ref,176,REF,deu,sgg,76
Lisa,ref,177,REF,deu,sgg,76
Lisa,ref,179,REF,deu,sgg,84
Lisa,ref,182,REF,deu,sgg,84
Lisa,ref,183,REF,deu,sgg,76
Lisa,ref,184,REF,deu,sgg,81
Lisa,ref,186,REF,deu,sgg,80
Lisa,ref,187,REF,deu,sgg,78
Lisa,ref,188,REF,deu,sgg,77
Lisa,ref,194,REF,deu,sgg,80
Lisa,ref,196,REF,deu,sgg,84
Lisa,ref,197,REF,deu,sgg,81
Lisa,ref,198,REF,deu,sgg,83
Lisa,ref,199,REF,deu,sgg,84
Lisa,ref,200,REF,deu,sgg,80
Lisa,ref,202,REF,deu,sgg,84
Lisa,ref,205,REF,deu,sgg,85
Lisa,ref,210,REF,deu,sgg,80
Lisa,ref,212,REF,deu,sgg,84
Lisa,ref,216,REF,deu,sgg,79
Lisa,ref,220,REF,deu,sgg,80
Lisa,ref,221,REF,deu,sgg,85
Lisa,ref,223,REF,deu,sgg,84
Lisa,ref,224,REF,deu,sgg,84
Lisa,ref,228,REF,deu,sgg,81
Lisa,ref,231,REF,deu,sgg,84
Lisa,ref,233,REF,deu,sgg,79
Lisa,ref,235,REF,deu,sgg,85
Lisa,ref,239,REF,deu,sgg,84
Lisa,ref,241,REF,deu,sgg,84
Lisa,ref,243,REF,deu,sgg,85
Lisa,ref,244,REF,deu,sgg,80
Lisa,ref,245,REF,deu,sgg,81
Lisa,ref,247,REF,deu,sgg,84
Lisa,ref,250,REF,deu,sgg,80
Lisa,ref,251,REF,deu,sgg,85
Lisa,ref,252,REF,deu,sgg,84
Lisa,ref,253,REF,deu,sgg,80
Lisa,ref,256,REF,deu,sgg,84
Lisa,ref,258,REF,deu,sgg,84
Lisa,ref,259,REF,deu,sgg,84
Lisa,ref,261,REF,deu,sgg,84
Lisa,ref,263,REF,deu,sgg,84
Lisa,ref,264,REF,deu,sgg,84
Lisa,ref,265,REF,deu,sgg,84
Lisa,ref,266,REF,deu,sgg,84
Lisa,ref,269,REF,deu,sgg,82
Lisa,ref,273,REF,deu,sgg,84
Lisa,ref,275,REF,deu,sgg,84
Lisa,ref,276,REF,deu,sgg,84
Lisa,ref,277,REF,deu,sgg,84
Lisa,ref,278,REF,deu,sgg,76
Lisa,ref,279,REF,deu,sgg,84
Lisa,ref,281,REF,deu,sgg,85
Lisa,ref,283,REF,deu,sgg,84
Lisa,ref,285,REF,deu,sgg,84
Lisa,ref,287,REF,deu,sgg,84
Lisa,ref,288,REF,deu,sgg,82
Lisa,ref,290,REF,deu,sgg,84
Lisa,ref,292,REF,deu,sgg,84
Lisa,ref,294,REF,deu,sgg,77
Lisa,ref,296,REF,deu,sgg,84
Lisa,ref,297,REF,deu,sgg,85
Lisa,ref,298,REF,deu,sgg,81
Lisa,ref,299,REF,deu,sgg,80
Lisa,ref,301,REF,deu,sgg,84
Lisa,ref,304,REF,deu,sgg,82
Lisa,ref,314,REF,deu,sgg,84
Lisa,ref,315,REF,deu,sgg,84
Lisa,ref,316,REF,deu,sgg,84
Lisa,ref,317,REF,deu,sgg,84
Lisa,ref,322,REF,deu,sgg,85
Lisa,ref,324,REF,deu,sgg,85
